Subject,test_case_id,Test Name,Pre-Condition,Description,No of Steps,Designer,Type,Major Functional Area,Business Unit,Complexity,test_steps,GIVEN,WHEN,THEN,Condition,Remaining,Business Capability,Impacted Application,Sub- Category,Role,Transactions,Profile,Profile type,Gateway,Transit Type,LOB,User Language,Transaction_Count
Subject\Rationalized Master Test Bed\No Regret Customer Connect\Rationization Oct23 No Regret\Administration\Balancing_Clearings,927401.0,TC003_Validation of HostResponse_Validation of Find Cash Transactor Profile Popup_Commercial Profile,CCQA_OPT_2023,"TC003_Validation of HostResponse_Validation of Find Cash Transactor Profile Popup_Commercial Profile

Business Capability : Administration
Impacted Application: Customer Connect
Sub- Category : Employee Sales and Service Daily Activies (My Day)
Role: Branch user

DESIGN:
GIVEN an Commercial Profile
WHEN a bill payment is processed  via 'Paper Bill Payment' Transaction
THEN Host Response with cash is being added to Aggregated 3rd Party cash amount.
 
Condition
Login to Customer Connect Application as Branch User 

Profile: Commercial
Profile type:Customer
Financial operator should be Logged In.

Profile Should have all AML/KYC information filled",12.0,rs04,MANUAL,Administration,P&BB - Everyday Banking,2-Medium,"Login to Customer Connect Application as 
Branch User 

Profile: Commercial
Profile type:Customer
Financial operator should be Logged In.

Profile Should have all AML/KYC information 
filled~Customer Connect Application launched successfully. | Search and Open a Commercial Profile~Profile Opened Successfully | Navigate to GoTo dropdown and select 
Service Navigator.~Service Navigator screen is displayed. | Select:
Holding or Service: Bank Account
Category: Bill Payment
Transaction: American Express Credit Card 
Payment 

Select Account from Holdings and click on 
""Process Now"" Push button.~Customer Connect - American Express Credit 
Card Payment Screen is displayed. | Select Spousal Contribution = Yes from 
dropdown~Selected Successfully. | Enter below Feilds
Enter Bmo investorLine A/C 
No (00000006612)
Select Source of Payment = Account
Enter Amount ($1000)
Enter BMO Customer Account Name (Ken)

Click on Ok Pushbutton~System Accepts and displays Sucessfull 
Host Response With 
Enable - Profile,Recall,Help Pushbuttons
Disable - Close, Override Pushbuttons | Select Cheque/Cash Radio button as Source 
of Payment
 
Enter Cash-in amount ( $10000)
  
Enter Card number(511242000010024)

Click on Source of Cash~Source of Cash Subscreen is displayed | Enter below Feilds 
Select Salary from dropdown for How was 
cash obtained?
Enter First name(Ken)
Click on Save pushbutton~Customer Connect - American Express Credit 
Card Payment Screen is displayed. | Click on ""OK"" Pushbutton Customer Connect - 
American Express Credit Card Payment 
Screen~Cash Confirmation Pops-up on screen.
 
You have indicated cash as the source of 
funds for this transaction. Did you accept the 
cash (notes and/or coin) with this 
transaction?
                Yes                          No | Click on ""Yes"" button in the ""Cash Confirmation"" 
window.~The ""Find Cash Transactor Profile"" search 
window pops-up on screen. | Search for a complete Transactor Profile.
 
Select a complete Transactor Profile [ has all the 
mandatory data ].~The ""Cash Transactor Information"" screen 
pops-up on display with the selected profile's 
data. | Click on ""SAVE/Confirm"" button.~Transaction is being sent to MECH and IDP.

3rd Party transaction; cash is being added to 
Aggregated 3rd Party cash amount.
Non-3rd Party transaction; cash is being 
added to Aggregated Employee cash amount.",GIVEN an Commercial Profile,WHEN a bill payment is processed  via 'Paper Bill Payment' Transaction,THEN Host Response with cash is being added to Aggregated 3rd Party cash amount.,"Condition
Login to Customer Connect Application as Branch User 
Profile: Commercial
Profile type:Customer
Financial operator should be Logged In.
Profile Should have all AML/KYC information filled","TC003_Validation of HostResponse_Validation of Find Cash Transactor Profile Popup_Commercial Profile
Business Capability : Administration
Impacted Application: Customer Connect
Sub- Category : Employee Sales and Service Daily Activies (My Day)
Role: Branch user",Administration,Customer Connect,Employee Sales and Service Daily Activies (My Day),Branch user,American Express Credit Card,Commercial,Customer,No,,,,1
Subject\Rationalized Master Test Bed\No Regret Customer Connect\Rationization Oct23 No Regret\Administration\Balancing_Clearings,927545.0,TC003_Validation of Cash for Cash Exchange Screen_Validation of HostResponse_Inquiry Pushbutton_Personal Profile,CCQA_OPT_2023,"TC003_Validation of Cash for Cash Exchange Screen_Validation of HostResponse_Inquiry Pushbutton_Personal Profile

Business Capability : Administration
Impacted Application: Customer Connect
Sub- Category : Balancing/Clearing
Role: Branch user


DESIGN:
GIVEN an Personal profile
WHEN Cash for Cash Exchange is selected for  transaction
THEN Sucessfull HOST RESPONSE is displayed
    
CONDITIONS: 
Login to Customer Connect Application as Branch User 

Profile: Personal
Profile type:Customer
Transit Type : Domicile
Financial operator should be Logged In.

Profile Should have all AML/KYC information filled",10.0,rs04,MANUAL,Administration,P&BB - Branch operations,3-Low,"Login to Customer Connect Application as 
Branch User 

Profile: Personal
Profile type:Customer
Transit Type : Domicile
Financial operator should be Logged In.

Profile Should have all AML/KYC information 
filled~Customer Connect Application launched successfully. | Search and Open a Personal Profile~Profile Opened Successfully | Navigate to GoTo dropdown and select 
Service Navigator.~Service Navigator screen is displayed. | Select:
Holding type: Administration
Category: Balancing/Administration
Transaction: Cash for cash exchange

Select Account from Holdings and click on 
""Process Now"" Push button.~Customer Connect - Cash for Cash Exchange 
Screen is displayed. | Select the below value

Select ""customer"" Radio button from 
exchange requested by.

Select “CAD to CAD cash” Radio button From 
Currency of Cash to be Exchanged” 

Enter Amount(41000) in “Amount for 
Exchange” field

Click on Ok pushbutton~Source of cash Pushbutton should be 
enabled | Click on source of cash button and
Select How was the cash 
obtained=Inheritance
Enter First name=Ken
Click on Save pushbutton~Customer Connect - Cash for Cash Exchange 
Screen is displayed. | Click on Ok Pushbutton~HostResponse is displayed with 
Close,Recall,Override,Help Pushbuttons | Click on Close Pushbutton in HostResponse~System Accepts and displays Customer 
Connect-Service Navigator Screen | Click on Inquiries Pushbutton~Inquiries screens should be displayed | Select Holdings=General Inquiry
Inquiry=Electronic Journal 

Click on Ok Pushbutton~Electronic Journal Subscreen is displayed",GIVEN an Personal profile,WHEN Cash for Cash Exchange is selected for  transaction,THEN Sucessfull HOST RESPONSE is displayed,"CONDITIONS: 
Login to Customer Connect Application as Branch User 
Profile: Personal
Profile type:Customer
Transit Type : Domicile
Financial operator should be Logged In.
Profile Should have all AML/KYC information filled","TC003_Validation of Cash for Cash Exchange Screen_Validation of HostResponse_Inquiry Pushbutton_Personal Profile
Business Capability : Administration
Impacted Application: Customer Connect
Sub- Category : Balancing/Clearing
Role: Branch user",Administration,Customer Connect,Balancing/Clearing,Branch user,Cash for Cash Exchange,Personal,Customer,No,Domicile,,,1
Subject\Rationalized Master Test Bed\No Regret Customer Connect\Rationization Oct23 No Regret\Administration\Branch_Operator Admin,927382.0,TC002_ Validation of BMO InvestorLine - Deposit Screen_ Select OK when Spousal Contribution value = Yes_Validation of HostResponse_Personal,CCQA_OPT_2023,"TC002_ Validation of BMO InvestorLine - Deposit Screen_ Select OK when Spousal Contribution value = Yes_Validation 
of HostResponse_Personal

Business Capability : Administration
Impacted Application: Customer Connect
Sub- Category : Employee Sales and Service Daily Activies (My Day)
Role: Branch user


DESIGN:
GIVEN an Personal profile
WHEN a Bill Payment is processed via ‘BMO InvestorLine - Deposit ' transaction
THEN Sucessfull HOST RESPONSE is displayed
    

CONDITIONS: 
Login to Customer Connect Application as Branch User 

Profile: Personal
Profile type:Customer
Transit Type : Domicile
Financial operator should be Logged In.

Profile Should have all AML/KYC information filled",7.0,rs04,MANUAL,Administration,P&BB - Everyday Banking,2-Medium,"Login to Customer Connect Application as 
Branch User 

Profile: Personal
Profile type:Customer
Transit Type : Domicile
Financial operator should be Logged In.

Profile Should have all AML/KYC information 
filled~Customer Connect Application launched successfully. | Search and Open a Personal Profile~Profile Opened Successfully | Navigate to GoTo dropdown and select 
Service Navigator.~Service Navigator screen is displayed. | Select:
Holding or Service: Bank Account
Category: Bill Payment
Transaction: BMO InvestorLine - Deposit 

Select Account from Holdings and click on 
""Process Now"" Push button.~Customer Connect - BMO InvestorLine - 
Deposit Screen is displayed. | Select Spousal Contribution = Yes from 
dropdown~Selected Successfully. | Enter below Feilds
Enter Bmo investorLine A/C 
No (00000006612)
Select Source of Payment = Account
Enter Amount ($1000)
Enter BMO Customer Account Name (Ken)

Click on Ok Pushbutton~System Accepts and displays Sucessful Host 
Response With 
Enable - Profile,Recall,Help Pushbuttons
Disable - Close, Override Pushbuttons | Click on Profile Pushbutton~System Accepts and display Customer Connect- Customer Profile Screen",GIVEN an Personal profile,WHEN a Bill Payment is processed via ‘BMO InvestorLine - Deposit ' transaction,THEN Sucessfull HOST RESPONSE is displayed,"CONDITIONS: 
Login to Customer Connect Application as Branch User 
Profile: Personal
Profile type:Customer
Transit Type : Domicile
Financial operator should be Logged In.
Profile Should have all AML/KYC information filled","TC002_ Validation of BMO InvestorLine - Deposit Screen_ Select OK when Spousal Contribution value = Yes_Validation 
of HostResponse_Personal
Business Capability : Administration
Impacted Application: Customer Connect
Sub- Category : Employee Sales and Service Daily Activies (My Day)
Role: Branch user",Administration,Customer Connect,Employee Sales and Service Daily Activies (My Day),Branch user,BMO InvestorLine - Deposit,Personal,Customer,No,Domicile,,,1
Subject\Rationalized Master Test Bed\No Regret Customer Connect\Rationization Oct23 No Regret\Administration\Branch_Operator Admin,927539.0,TC003_Validation of MainScreen_My Day Screen_Validation of Administration_Balancing Administration,CCQA_OPT_2023,"TC003_Validation of MainScreen_My Day Screen_Validation of Administration_Balancing Administration
- Branch Administration_Employee Gateway

Business Capability : Administration
Sub Category: Branch/Operator Admin
Impacted Application: Customer Connect
Role :Branch User

DESIGN:
GIVEN A Branch user in Employee Gateway
When Select admin drop down from my day screen
THEN Service navigator screen is displayed with default transaction as per options selected from admin dropdown

CONDITIONS: 
Login to Customer Connect Application as Branch user

Gateway - Employee Gateway",8.0,rs04,MANUAL,Administration,P&BB - Branch operations,3-Low,"Login to Customer Connect Application as 
Branch user

Gateway - Employee Gateway~Customer connect Application launched 
successfully and MY Day screen is displayed | Select 'Admin' drop down from 'My Day' screen~Admin' drop down list is displayed as follows;

- Balancing/Administration
- Branch Administration
- Operator Administration | Click on 'Balancing/Administration' push button~Customer Connect-Service navigator screen 
is displayed with 'Main' & 'Process Now' push 
button 

Default transaction is selected as follows;

Holding or Service = Administration
Category = Balancing/Administration
Transaction = Cross Entry | Select 'Main' push button on Customer 
Connect-Service navigator screen~Customer Connect - Main Screen is displayed | Click on 'Global Toolbar' Pushbutton on  main 
screen~Global toolbar dropdown list is displayed With 
below Feilds(i.e)
Enable:
Find Profile
New Search
Employee Gateway
Admin
My Day
Go To
Service Navigator
Sales Navigator
Inquiries
Disable
previous Search
select profile
Last Active profile
profile
Customer Information
Shopping Cart | Select 'My Day' option from dropdown list~Customer Connect-My Day screen is 
displayed | Select 'Admin' drop down~Admin' drop down list is displayed as 
follows;

- Balancing/Administration
- Branch Administration
- Operator Administration | Click on 'Branch Administration' push button~Customer Connect-Service navigator screen 
is displayed with 'Main' & 'Process Now' push 
button 

Default transaction is selected as follows;

Holding or Service = Administration
Category = Branch Administration
Transaction = Open or Close Branch",GIVEN A Branch user in Employee Gateway,When Select admin drop down from my day screen,THEN Service navigator screen is displayed with default transaction as per options selected from admin dropdown,"CONDITIONS: 
Login to Customer Connect Application as Branch user
Gateway - Employee Gateway","TC003_Validation of MainScreen_My Day Screen_Validation of Administration_Balancing Administration
- Branch Administration_Employee Gateway
Business Capability : Administration
Sub Category: Branch/Operator Admin
Impacted Application: Customer Connect
Role :Branch User",Administration,Customer Connect,Branch/Operator Admin,Branch User,Cross Entry|Open or Close Branch,,,Employee,,,,3
Subject\Rationalized Master Test Bed\No Regret Customer Connect\Rationization Oct23 No Regret\Administration\Branch_Operator Admin,927542.0,TC003_Validation of Account Debit Screen_Validation of HostResponse_General Ledger Number_Personal Profile,CCQA_OPT_2023,"TC003_Validation of Account Debit Screen_Validation of HostResponse_General Ledger Number_Personal Profile

Business Capability : Administration
Impacted Application: Customer Connect
Sub- Category : Employee Sales and Service Daily Activies (My Day)
Role: Branch user


DESIGN:
GIVEN an Personal profile
WHEN Account debit is Selected  for transaction
THEN Sucessfull HOST RESPONSE is displayed
    
Conditions:
Login to Customer Connect Application as Branch user

Profile : Personal
Profile type : Customer
Transit type : Domicile/Non-Domicile

Profile Should have all AML/KYC information filled and Profile should have valid Bank Account((3999160)


Sign in with Valid Financial Operator",6.0,rs04,MANUAL,Administration,P&BB - Branch operations,3-Low,"Login to Customer Connect Application as 
Branch user

Profile : Personal
Profile type : Customer
Transit type : Domicile/Non-Domicile

Profile Should have all AML/KYC information 
filled and Profile should have valid Bank 
Account((3999160)


Sign in with Valid Financial Operator~Customer Connect Application launched 
successfully. | Search for a Personal profile.~Profile Opened Successfully | Navigate to Go To dropdown and select 
Service Navigator.~Service Navigator screen is displayed. | Select 
Holding or Service : Bank Account
Category : Financials
Transaction : Account Debit

Select Account from Holdings and click on Process Now button.~Customer Connect - Account Debit screen is 
displayed. | Select By Branch radio button and
Enter below Feilds
Transit(2015)
Account(3999160)
 and 
select the Reason(Debit Adjustment)

Select GL Radiobutton in Credit General 
Ledger and Enter below Feilds
GL Number(111131)
Amount($10000)

Click on Ok Pushbutton~System Accepts and displays Sucessfull 
HostResponse With 
Enable-Close,Recall,Help Pushbuttons
Disable-Override | Click on Close Pushbutton in HostResponse~System Accepts and displays Customer 
Connect-Service Navigator Screen",GIVEN an Personal profile,WHEN Account debit is Selected  for transaction,THEN Sucessfull HOST RESPONSE is displayed,"Conditions:
Login to Customer Connect Application as Branch user
Profile : Personal
Profile type : Customer
Transit type : Domicile/Non-Domicile
Profile Should have all AML/KYC information filled and Profile should have valid Bank Account((3999160)
Sign in with Valid Financial Operator","TC003_Validation of Account Debit Screen_Validation of HostResponse_General Ledger Number_Personal Profile
Business Capability : Administration
Impacted Application: Customer Connect
Sub- Category : Employee Sales and Service Daily Activies (My Day)
Role: Branch user",Administration,Customer Connect,Employee Sales and Service Daily Activies (My Day),Branch user,Account Debit,Personal,Customer,No,Domicile/Non-Domicile,,,1
Subject\Rationalized Master Test Bed\No Regret Customer Connect\Rationization Oct23 No Regret\Administration\Branch_Operator Admin,927544.0,TC001_Validation of Interbranch Transfer Screen_Validation of HostResponse_Balancing Administration_Personal Profile,CCQA_OPT_2023,"TC001_Validation of Interbranch Transfer Screen_Validation of HostResponse_Balancing Administration_Personal Profile
Business Capability : Administration
Impacted Application: Customer Connect
Sub- Category : Balancing/Clearings
Role: Branch user


DESIGN:
GIVEN an Personal profile
WHEN  Interbranch Transfer is Selected for transaction
THEN Sucessfull HOST RESPONSE is displayed
    
CONDITIONS: 
Login to Customer Connect Application as Branch user

Profile : Personal
Profile type : Customer
Transit type : Domicile

Profile Should have all AML/KYC information filled and Profile should have valid Bank Account((3999160)


Sign in with Valid Financial Operator",6.0,rs04,MANUAL,Administration,P&BB - Everyday Banking,2-Medium,"Login to Customer Connect Application as 
Branch user

Profile : Personal
Profile type : Customer
Transit type : Domicile

Profile Should have all AML/KYC information 
filled and Profile should have valid Bank 
Account((3999160)


Sign in with Valid Financial Operator~Customer Connect Application launched 
successfully. | Search and Open a Personal Profile~Profile Opened Successfully | Navigate to GoTo dropdown and select 
Service Navigator.~Service Navigator screen is displayed. | Select:
Holding Servicing: Administration
Category: Balancing/Administration
Transaction: Interbranch Transfer  
Click on Process now push button.~Customer Connect-InterBranch Transfer 
Screen is displayed. | Enter below Fields
Receiving Transit(0239)
Select Account Radiobutton 
Enter Transit(2015)
Account(3999160)
Amount($1000)
GL Number(111131)
Amount($10000)
and Click OK push button on InterBranch 
Transfer Screen~System Accepts and  display 
successful  Host Response With 
Enable:Recall & Help push buttons
Disabled:Override push button",GIVEN an Personal profile,WHEN  Interbranch Transfer is Selected for transaction,THEN Sucessfull HOST RESPONSE is displayed,"CONDITIONS: 
Login to Customer Connect Application as Branch user
Profile : Personal
Profile type : Customer
Transit type : Domicile
Profile Should have all AML/KYC information filled and Profile should have valid Bank Account((3999160)
Sign in with Valid Financial Operator","TC001_Validation of Interbranch Transfer Screen_Validation of HostResponse_Balancing Administration_Personal Profile
Business Capability : Administration
Impacted Application: Customer Connect
Sub- Category : Balancing/Clearings
Role: Branch user",Administration,Customer Connect,Balancing/Clearings,Branch user,Interbranch Transfer,Personal,Customer,No,Domicile,,,2
Subject\Rationalized Master Test Bed\No Regret Customer Connect\Rationization Oct23 No Regret\Administration\Branch_Operator Admin,928220.0,TC005_Branch User_Personal Profile_Validation of successful host response for BMO Nesbitt Burns – Deposit  transaction,CCQA_OPT_2023,"TC005_Branch User_Personal Profile_Validation of successful host response for BMO Nesbitt Burns – 
Deposit  transaction

Business Capability : Product Servicing
Sub Category: Financials/Deposits
Impacted Application: Customer Connect
Role :Branch User

DESIGN:
GIVEN an existing Personal Profile with BMO Nesbitt Burns Prime Access Account 
WHEN select BMO Nesbitt Burns – Deposit  transaction on service navigator screen 
THEN successfull host response is displayed


Condition:
Login to Customer Connect Application as Branch user.

Profile: Personal
Profile Type: Customer

Sign in with valid financial operator ID

Profile should have all the AML/KYC information filled.

Profile Should have BMO Nesbitt Burns Prime Access Account",6.0,kbheral,MANUAL,Product Servicing,P&BB - Everyday Banking,2-Medium,"Click on Recall Pushbutton in HostResponse~System Accepts and displays Customer 
Connect-InterBranch Transfer Screen | Login to Customer Connect Application as 
Branch user.

Profile: Personal
Profile Type: Customer

Sign in with valid financial operator ID

Profile should have all the AML/KYC 
information filled.

Profile Should have BMO Nesbitt Burns Prime 
Access Account~Customer Connect Application launched successfully. | Search and Open Personal profile.~Profile opened successfully. | Navigate to GoTo dropdown and select Service Navigator.~Service Navigator screen is displayed. | Select 
Holding or Service = Bill Payment 
Category = Bill Payment 
Transaction = BMO Nesbitt Burns – Deposit 

Select BMO Nesbitt Burns Prime Access 
Account customer holding 
&
Click Process now push button~Customer connect - BMO Nesbitt burn - Deposit 
screen is displayed with Account radio button is 
seleceted bydefault. | Select OK push button in Customer connect - 
BMO Nesbitt burn - Deposit screen~Error infoline messge is displayed 
Please indicate spousal or non spousal contribution 
before continuing",GIVEN an existing Personal Profile with BMO Nesbitt Burns Prime Access Account,WHEN select BMO Nesbitt Burns – Deposit  transaction on service navigator screen,THEN successfull host response is displayed,"Condition:
Login to Customer Connect Application as Branch user.
Profile: Personal
Profile Type: Customer
Sign in with valid financial operator ID
Profile should have all the AML/KYC information filled.
Profile Should have BMO Nesbitt Burns Prime Access Account","TC005_Branch User_Personal Profile_Validation of successful host response for BMO Nesbitt Burns – 
Deposit  transaction
Business Capability : Product Servicing
Sub Category: Financials/Deposits
Impacted Application: Customer Connect
Role :Branch User",Product Servicing,Customer Connect,Financials/Deposits,Branch User,BMO Nesbitt Burns – Deposit,Personal,Customer,No,,,,1
Subject\Rationalized Master Test Bed\No Regret Customer Connect\Rationization Oct23 No Regret\Administration\E2E Administration,899046.0,TC001 Validation of switch branch by connecting non-finantial transaction,CCQA_OPT_2023,"TC001 Validation of switch branch by connecting non-finantial transaction

Business Capability : Administration
Sub Category: Branch/Operator Administration
Impacted Application: Customer Connect
Role :Branch User (CSR)

DESIGN:
GIVEN A Branch user  (CSR) workstation
When Select any branch from list and click on 'Ok' push button
THEN Transit number is changed successfully and CC main screen is displayed

CONDITIONS: 
Login to Customer Connect Application as Branch user (CSR)


Need valid Non-Financial operator - Branch list available to switch branch",9.0,sbote,MANUAL,Administration,P&BB - Branch operations,1-High,"Enter below details

Spousal contribution eg. yes
BMO Nesbitt burns A/C No. eg. 3852-8604-02
Amount eg. $10.10
BMO customer account name eg. ken laden
Select OK push button~Successfull Host Response screen get Dislayed | Login to Customer Connect Application as 
Branch user (CSR)


Need valid Non-Financial operator - Branch 
list available to switch branch~Customer connect Application launched 
successfully | Click on 'Admin' dropdown option in 'Find Profile' 
screen~Admin' drop down list is displayed as follows;

- Balancing/Administration
- Branch Administration
- Operator Administration | Select 'Operator Administration' option~Operator Administration screen is displayed 
with 'Ok', 'Clear' & 'Cancel' push button | Select Non-Financial radio button

Enter valid non-financial operator with 
password 
Select 'Postdate' checkbox

Click on 'Ok' push button~Information dialogue is displayed with 
operator number and postdate as follows;

'Operator is signed in under business date of'

with 'Ok' push button | Select 'Ok' push button~Operator is connected successfully and CC main screen is displayed | Click on 'Switch Branch' push button~Switch Branch screen is displayed with branch 
list
with 'Ok', 'Cancel' & 'Help' push button | Select a branch from list and click on 'Ok' 
push button~Warning dialogue is displayed as follows;

'Are you sure you want to switch branch 
now'

 'Yes' & 'No' push button should be displayed 
and  

Default focus should be on ""Yes"" radio button | Select 'Yes' push button~Workstation is switched to selected branch 
successfully and warning dialogue is displayed 
as follows;

'Your workstation is now operating under 
transit'
with 'Ok' push button | Select 'Ok' push button~Transit number is changed successfully and CC 
main screen is displayed",GIVEN A Branch user  (CSR) workstation,When Select any branch from list and click on 'Ok' push button,THEN Transit number is changed successfully and CC main screen is displayed,"CONDITIONS: 
Login to Customer Connect Application as Branch user (CSR)
Need valid Non-Financial operator - Branch list available to switch branch","TC001 Validation of switch branch by connecting non-finantial transaction
Business Capability : Administration
Sub Category: Branch/Operator Administration
Impacted Application: Customer Connect
Role :Branch User (CSR)",Administration,Customer Connect,Branch/Operator Administration,Branch User (CSR),,,,No,,,,0
Subject\Rationalized Master Test Bed\No Regret Customer Connect\Rationization Oct23 No Regret\Administration\E2E Administration,899135.0,TC044 Validate Customer Connect application initial launch behaviour for Shared User,CCQA_OPT_2023,"TC044 Validate Customer Connect application initial launch behaviour for Shared User

Business Capability:  Administration
Impacted Application: Customer Connect
Sub- Category: Branch/Operator Admin
Role: Shared User 

Design:
GIVEN an Shared user to launch Customer Connect workstation
WHEN Launch Customer Connect from desktop 
THEN validate MY Day screen display

Condition:
Login to Customer Connect workstation as Shared User",2.0,nkuma48,MANUAL,Administration,P&BB - Branch operations,1-High,"Login to Customer Connect workstation as 
Shared User~Customer Connect workstation lauched 
successfully  and Sign in page should be 
displayed | Enter Branch user in pathway connect id 
field ,password in pathway connect 
password field and click on Ok button~Customer Connect Application should take

less than 2 minutes to launch.



Application should land on ""My

Day"" screen.(Initial display)",GIVEN an Shared user to launch Customer Connect workstation,WHEN Launch Customer Connect from desktop,THEN validate MY Day screen display,"Condition:
Login to Customer Connect workstation as Shared User","TC044 Validate Customer Connect application initial launch behaviour for Shared User
Business Capability:  Administration
Impacted Application: Customer Connect
Sub- Category: Branch/Operator Admin
Role: Shared User",Administration,Customer Connect,Branch/Operator Admin,Shared User,,,,No,,,,0
Subject\Rationalized Master Test Bed\No Regret Customer Connect\Rationization Oct23 No Regret\Administration\E2E Administration,899140.0,TC002 Validation of Operator Sign In_Sign Out transaction_Validate Electronic Journal,CCQA_OPT_2023,"TC002 Validation of Operator Sign In_Sign Out transaction and Validate Electronic Journal 

Business Capability : Administration
Sub Category: Branch/Operator Admin
Impacted Application: Customer Connect
Role : Branch User (CSR)

Design:
GIVEN a personal profile
WHEN Select sign out & sign in transaction in Electronic Journal and Click Details button
THEN System should display transaction details information on Electronic Journal Transaction

Condition:
Login to Customer Connect Application as Branch User (CSR) 

Profile : Personal
Profile Type : Customer

Signin with valid financial operator ID

Profile should have all the AML/KYC fields updated already",21.0,sbote,MANUAL,Administration,P&BB - Branch operations,1-High,"Login to Customer Connect Application as 
Branch User (CSR)

Profile : Personal
Profile Type : Customer

Signin with valid financial operator ID

Valid financial operator ID to signin 

Profile should have all the AML/KYC fields 
updated already.~Customer Connect Application launched 
successfully | Search and Open Personal Profile~Profile opened successfully | Select Service Navigator from Go To dropdown~Service Navigator screen should be displayed | Select

Holding or Service = Administration
Category = Operator Administration
Transaction = Final Sign Out

and Click on Process now button~Host Response pop up is displayed with 
available amount status | Select Ok button in host response pop up~Operator is signed out successfully and host 
response pop up is displayed | Select Ok button in host response pop up~System should close the Host Response pop 
up and Customer Connect - Service Navigator 
screen should be displayed | Click Inquiries button from Menu bar~Inquiries pop up should be displayed with 
Inquiry Menu screen | Select 

Holding Type = General Inquiries
Inquiry = Electronic Journal

Click OK button~System should display Electronic Journal 
screen | Click List button in Electronic Journal screen~System accepts and displays the list of 
transactions captured in Electronic Journal | Select the Final Sign Out transaction in 
Electronic Journal and Click Details button~System should display Final Sign Out transaction 
information under Transactions Details grid

Success Host Response should be displayed 
under Host response section | Select 'Close Inquiries' button in inquiries screen~System should close the Inquiries screen and 
Customer Connect - Service Navigator screen 
should be displayed | Select

Holding or Service = Administration
Category = Operator Administration
Transaction = Sign In

and Click on Process now button~Operator Administration pop up is displayed with 
previously connected finantial operator number | Validate the tabbing sequence for all the fields 
in the Operator Administration pop up and verify 
the watermark values for each field (if 
applicable) while performing tabbing sequence~Tabbing sequence should be working fine and 
Focus should be moved to next consecutive 
fields.

Tabbing is from left to right and only tabs to 
enabled fields.

Left/Right arrow keys will move focus for radio 
buttons.

System should display the watermark values (If 
Applicable) when tabbed into respective field 
and watermark values should be removed once 
the focus is tabbed out from the particular field. | Enter Valid operator number and Select 
'Postdate' checkbox in operator administration 
pop up~Operator number entered and Postdate checkbox is 
selected successfully | Click on Ok push button in in operator 
administration pop up~Warning dialogue is displayed as follows;

'Are you sure you want to logon with operator'
with Yes & No push buttons | Click on Yes button in warning dialogue pop up~Information Dialogue pop up is displayed with 
successfully connected operator information | Click on Ok button in information dialogue pop up~System should close the information dialogue 
pop up and Customer Connect - Service 
Navigator screen should be displayed | Click Inquiries button from Menu bar~Inquiries pop up should be displayed with 
Inquiry Menu screen | Select 

Holding Type = General Inquiries
Inquiry = Electronic Journal

Click OK button~System should display Electronic Journal 
screen | Click List button in Electronic Journal 
screen~System accepts and displays the list of 
transactions captured in Electronic Journal | Select the Sign In transaction in Electronic 
Journal and Click Details button~System should display Sign In transaction 
information under Transactions Details grid

Success Host Response should be displayed 
under Host response section",GIVEN a personal profile,WHEN Select sign out & sign in transaction in Electronic Journal and Click Details button,THEN System should display transaction details information on Electronic Journal Transaction,"Condition:
Login to Customer Connect Application as Branch User (CSR) 
Profile : Personal
Profile Type : Customer
Signin with valid financial operator ID
Profile should have all the AML/KYC fields updated already","TC002 Validation of Operator Sign In_Sign Out transaction and Validate Electronic Journal 
Business Capability : Administration
Sub Category: Branch/Operator Admin
Impacted Application: Customer Connect
Role : Branch User (CSR)",Administration,Customer Connect,Branch/Operator Admin,Branch User (CSR),Final Sign Out|Sign In,Personal,Customer,No,,,,5
